epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,79294.4,0.61887,0.36468,0.9419,0.99887,0.99,0.9949,0.84687,0.71264,0.31854,0.93255,0.0005645,0.0005645,0.0005645
147,80036.3,0.61771,0.36553,0.93335,0.99891,0.99,0.99377,0.84881,0.72258,0.33535,0.93437,0.0005546,0.0005546,0.0005546
148,80777.3,0.64181,0.37526,0.93539,0.98999,0.98853,0.99351,0.85405,0.72981,0.34397,0.95498,0.0005447,0.0005447,0.0005447
149,81531.6,0.63595,0.3596,0.93453,1,0.98902,0.99471,0.85779,0.73022,0.3138,0.93517,0.0005348,0.0005348,0.0005348
150,82284.5,0.61229,0.35781,0.93481,0.99881,0.99,0.99471,0.86647,0.68158,0.3144,0.91642,0.0005249,0.0005249,0.0005249
151,83028.1,0.59833,0.35177,0.92611,0.99885,0.99,0.99435,0.85793,0.70017,0.32328,0.91968,0.000515,0.000515,0.000515
152,83714.8,0.62213,0.36586,0.93192,0.99782,0.99,0.99262,0.84808,0.68907,0.3275,0.9202,0.0005051,0.0005051,0.0005051
153,84432.1,0.61516,0.37124,0.93575,0.9992,0.99,0.99471,0.85465,0.7375,0.31731,0.92377,0.0004952,0.0004952,0.0004952
154,85181.3,0.5845,0.34947,0.92066,0.99914,0.99,0.99443,0.86068,0.72709,0.31892,0.93521,0.0004853,0.0004853,0.0004853
155,85879.8,0.60915,0.35642,0.93147,0.98925,0.99,0.99399,0.85203,0.69839,0.32407,0.92854,0.0004754,0.0004754,0.0004754
156,86167.5,0.601,0.35317,0.91773,1,0.9868,0.99143,0.84305,0.69182,0.33573,0.92978,0.0004655,0.0004655,0.0004655
157,86776.9,0.5936,0.35377,0.92074,0.99842,0.99,0.99093,0.84261,0.71314,0.34094,0.93457,0.0004556,0.0004556,0.0004556
158,87523.1,0.58403,0.34758,0.91358,0.99913,0.99,0.99256,0.84686,0.71622,0.3411,0.91811,0.0004457,0.0004457,0.0004457
159,88273.5,0.59777,0.35458,0.92517,0.9986,0.99,0.9948,0.86183,0.70473,0.31955,0.91611,0.0004358,0.0004358,0.0004358
160,89021.3,0.57615,0.35384,0.91428,1,0.98981,0.99452,0.85171,0.71305,0.32336,0.92261,0.0004259,0.0004259,0.0004259
161,89782.6,0.60261,0.35934,0.92664,1,0.98991,0.9949,0.84449,0.73558,0.3186,0.92657,0.000416,0.000416,0.000416
162,90535.8,0.60226,0.3565,0.92098,0.99917,0.99,0.9949,0.8463,0.73985,0.30854,0.93448,0.0004061,0.0004061,0.0004061
163,91284.7,0.56758,0.34086,0.90704,0.98936,1,0.9949,0.86385,0.71765,0.30492,0.92372,0.0003962,0.0003962,0.0003962
164,92022.2,0.57262,0.33671,0.91201,0.99009,0.99903,0.9949,0.85601,0.71609,0.31228,0.92393,0.0003863,0.0003863,0.0003863
165,92679.9,0.57458,0.34281,0.91579,0.99838,0.99,0.99462,0.86174,0.69654,0.30251,0.91748,0.0003764,0.0003764,0.0003764
166,93158.7,0.57241,0.33923,0.90765,0.99837,0.99,0.99197,0.84744,0.72877,0.33524,0.92835,0.0003665,0.0003665,0.0003665
167,93545.1,0.58899,0.34505,0.90989,0.98896,0.99,0.99348,0.84527,0.723,0.34782,0.93524,0.0003566,0.0003566,0.0003566
168,94103.5,0.56891,0.33738,0.91408,0.9792,0.99,0.99193,0.85347,0.69964,0.34265,0.92102,0.0003467,0.0003467,0.0003467
